Nombre;Año de estreno;Duración ;Género;Calificación IMDB
¿Quien tiene la culpa?;2025;103;Comedia;5,4
Patio de Chacales;2025;108;Drama, terror;7,2
¿Cuándo te vas?;2025;82;Comedia;6,7
Desconectados 2: Reconectados ;2025;103;Comedia, familia;5,0
La llama interior ;2025;73;Fantasía, misterio;Sin calificación 
Me rompiste el corazón: el amor de Roberto Parra y la Negra Ester;2025;90;Drama, comedia;7,6
La ola;2025;129;Drama, musical;5,8
La misteriosa mirada del flamenco;2025;104;Drama;6,9
Cuerpo celeste;2025;97;Drama;7,0
Oro amargo;2024;83;Drama, thriller ;7,2
Denominación de origen;2024;86;Comedia;8,1
El lugar de la otra ;2024;96;Drama, crimen, historia;6,3
Sayen: la cazadora;2024;88;Acción ;4,4
Quizás es cierto lo que dicen de nosotras;2024;90;Drama, thriller;6,3
Bremen;2024;108;Comedia, drama, música;Sin calificación 
Los colonos;2023;97;Tragedia, drama, crimen, historia;6,9
Sayen: La ruta seca;2023;90;Acción;4,5
El Conde;2023;110;Comedia, sátira, historia, fantasía ;6,4
Sayen;2023;93;Acción, thriller;4,7
Brujería;2023;100;Fantasía;6,1
Papá al rescate;2023;100;Comedia, drama;4,4
Ardiente paciencia ;2022;96;Drama, romance, historia;6,0
Un like de navidad;2022;90;Comedia;5,3
El castigo;2022;86;Drama;6,8
Mensajes privados;2022;77;Drama;5,7
Blanquita;2022;99;Drama;6,2
La Verónica;2021;100;Comedia, drama;6,0
La mirada incendiada ;2021;95;Drama, dictadura;6,8
Piola;2020;103;Drama;6,4
Matar a Pinochet;2020;81;Drama, dictadura;5,8
Tengo miedo torero;2020;93;Drama, historia, romance;7,0
Nadie sabe que estoy aquí;2020;91;Drama, música;6,5
Mujeres arriba;2020;100;Comedia;3,9
Pacto de fuga;2020;138;Drama, thriller;7,0
Cosas de hombres ;2020;101;Comedia;3,4
Perro Bomba;2019;90;Drama;6,6
Ema;2019;107;Drama, música, romance;6,7
Algunas bestias ;2019;97;Drama, thriller;5,6
Araña;2019;100;Drama,crimen, thriller;6,3
Hecho bolsa;2019;96;Comedia;5,3
Ella es Cristina;2019;82;Drama;6,0
Mi amigo Alexis;2019;82;Comedia, deporte, drama, familia;5,0
No quiero ser tu hermano ;2019;115;Comedia;3,2
Cola de mono;2018;102;Drama, thriller;5,8
El despertar de Camila;2018;89;Romance;5,0
La salamandra;2018;120;Drama;6,4
No estoy loca;2018;116;Comedia, drama;5,7
La isla de los pingüinos ;2017;105;Drama, historia ;6,2
…Y de pronto el amanecer;2017;195;Drama;7,0
Los perros;2017;94;Drama;6,3
Un día cualquiera;2017;100;Romance;5,5
Reinos;2017;79;Drama;4,8
Princesita ;2017;78;Drama;6,1
La memoria de mi padre;2017;86;Drama;7,0
Johnny 100 pesos, capítulo dos;2017;113;Crimen, drama;5,5
Cabros de mierda ;2017;118;Drama, historia, dictadura;6,7
Érase una vez, muy lejos de Liverpool;2017;65;Drama;Sin calificación 
La mentira blanca;2017;80;Comedia;6,3
Niñas araña;2017;93;Crimen, drama;6,7
Se busca novio…para mi mujer;2017;100;Comedia, drama, romance;5,4
Aquí no ha pasado nada;2016;94;Drama;6,5
Mala junta;2016;89;Drama;7,4
El Cristo ciego;2016;85;Drama;5,8
Rara;2016;94;Drama;6,6
Poesía sin fin;2016;130;Drama, fantasía, biografía ;7,5
Argentino QL;2016;91;Comedia;3,3
Neruda;2016;107;Crimen, historia, drama, biografía ;6,8
Un caballo llamado elefante;2016;80;Biografía, familia, fantasía ;5,6
Fragmentos de Lucía;2016;89;Drama;8,2
Fuego, en la Federación Obrera de Magallanes;2016;65;Drama, historia;Sin calificación 
Nunca vas a estar solo;2016;81;Acción, drama;6,1
Los soles vagabundos;2016;88;Drama;Sin calificación 
Sin filtro;2016;90;Comedia;5,6
Pinochet boys;2016;90;Drama, dictadura;4,6
Talión;2015;85;Crimen, thriller;5,9
Sendero;2015;90;Drama, acción, thriller, terror;3,6
Los 33;2015;145;Drama, historia, biografía ;6,9
Los iluminados ;2015;80;Comedia, drama, romance;7,0
Las plantas;2015;90;Drama;5,5
La sombra del roble;2015;72;Drama;Sin calificación 
La paradoja de Zenón;2015;67;Fantasía;Sin calificación 
La mujer de la esclavina;2015;73;Drama;Sin calificación 
El último lonco;2015;90;Drama;5,8
El Tila, fragmentos de un psicópata;2015;92;Drama, thriller;6,6
El origen del cielo;2015;86;Drama;6,6
El mal trato;2015;67;Drama, thriller;6,4
El cantar de los grillos;2015;90;Drama;7,6
Distancia;2015;99;Drama;Sin calificación 
Días de Cleo;2015;77;Drama;Sin calificación 
6 horas ;2015;70;Drama, thriller, ciencia ficción ;3,6
Sin norte;2015;107;Drama;7,0
Vida sexual de las plantas;2015;94;Drama, romance;5,5
El nombre;2015;72;Drama, thriller;7,7
La mujer de barro;2015;92;Drama;6,6
Fuerzas Especiales 2;2015;90;Comedia;3,2
Lusers;2015;95;Acción, comedia, romance;4,9
Alma;2015;98;Comedia, drama, familia, romance;4,7
La memoria del agua;2015;88;Drama, romance;6,1
Invierno ;2015;281;Drama;6,6
El club;2015;98;Comedia, drama, misterio, thriller;7,2
Perla;2015;80;Comedia, drama, fantasía, misterio, familia ;6,0
Razones para amarla;2015;114;Romance;Sin calificación 
El bosque de Karadima;2015;100;Drama, historia ;6,9
Joselito;2014;64;Drama;6,1
Vitae;2014;95;Drama;7,9
Gritos del bosque;2014;87;Romance, fantasía, terror;7,1
Allende en su laberinto ;2014;90;Acción, historia, drama, dictadura, biografía;6,1
Héroes;2014;93;Comedia;3,3
Matar a un hombre;2014;82;Crimen, drama, thriller;6,3
Fuerzas Especiales;2014;80;Comedia;3,3
El mago;2014;83;Crimen, drama, thriller, misterio;5,1
Soy mucho mejor que voh;2014;83;Comedia, drama;6,4
Crystal Fairy y el cáctus mágico;2014;100;Comedia, drama, romance;5,9
I am from Chile;2014;108;Comedia, drama;6,3
Patagonia de los sueños;2014;108;Historia, romance;5,1
Hijo de Trauco;2014;93;Comedia, drama, aventuras ;6,9
09 en paréntesis ;2014;90;Terror, thriller;4,3
Brillantes;2014;90;Comedia;4,5
Mamá ya crecí;2014;96;Comedia, romance;2,0
Videoclub;2014;80;Acción, romance, terror;4,4
Cirqo;2013;100;Drama;6,8
El tío;2013;107;Biografía, drama, thriller, dictadura ;6,0
El derechazo;2013;96;Comedia;3,5
Apio verde;2013;76;Drama, terror, thriller;2,0
La Mujer de Iván;2013;89;Drama;6,7
El ciudadano Kramer;2013;100;Comedia;4,8
Raíz;2013;87;Drama;6,1
Barrio universitario ;2013;86;Comedia, romance;3,6
El verano de los peces voladores;2013;95;Comedia, drama;6,1
Gloria;2013;110;Drama, comedia, romance;6,9
La pasión de Michelangelo ;2013;98;Drama;6,5
El futuro;2013;94;Drama, historia;5,5
Qué pena tu familia;2012;101;Acción, familia, comedia;4,6
No;2012;118;Drama, historia, dictadura;7,4
Mi último round;2012;90;Deporte, drama, romance;6,6
Aftershock;2012;89;Acción, drama, terror, aventuras, thriller ;4,8
Tráiganme la cabeza de la mujer metralleta;2012;73;Acción, comedia, romance, crimen;5,4
Stefan v/s Kramer;2012;99;Comedia;5,6
Otra película de amor;2012;108;Drama, romance;5,6
Miguel San Miguel;2012;80;Biografía, música;6,5
La noche de enfrente ;2012;110;Comedia, drama, fantasía ;6,1
Joven y alocada;2012;96;Comedia, drama;6,0
Hijo de Trauco;2012;93;Aventuras, comedia, drama;6,9
De jueves a domingo;2012;93;Drama;6,4
Caleuche: el llamado del mar;2012;100;Drama, fantasía, terror;4,8
Violeta se fue a los cielos;2011;110;Drama, biografía, música;7,1
Qué pena tu boda;2011;98;Comedia, romance;5,4
Música campesina;2011;100;Comedia, drama, música;6,5
El limpia piscinas ;2011;92;Comedia, romance;3,7
El circuito de Román;2011;93;Drama, ciencia ficción;6,0
El año del tigre ;2011;82;Drama;5,7
Bonsái;2011;102;Drama;6,2
Bombal;2011;81;Drama;5,4
Baby shower;2011;89;Drama, terror;4,3
03:34 Terremoto en Chile;2011;100;Suspenso, catástrofe;4,9
Velódromo;2010;111;Drama;6,9
Te creís la más linda (pero erís la más puta);2010;89;Comedia;6,4
Schop sui;2010;90;Drama;Sin calificación 
Qué pena tu vida;2010;94;Comedia romántica, acción, drama, familia, musical;5,6
Post mortem;2010;98;Drama;6,5
Perro muerto;2010;93;Drama;5,9
La vida de los peces;2010;84;Drama;6,7
La Esmeralda, 1879;2010;90;Cine histórico;6,1
Gatos viejos;2010;88;Drama;6,8