NOMBRE PROTAGONISTA ;SEXO ACTOR PROTAGONISTA;NOMBRE ACTOR SECUNDARIO ;SEXO ACTOR SECUNDARIO
Jorge Alís;M;María Berlazzo;F
Néstor Cantillana;M;Blanca Lewin;F
Álvaro Rudolphy ;M;Francisca Inbodem ;F
Javiera Contador ;F;Jorge Zabaleta;M
Constanza Quinteros ;F;Valeria Araneda;F
Daniel Muñoz;M;Carmen Gloria Bresky;F
Daniela López;F;Avril Aurora;F
Tamara Cortés;F;Matías Catalán;M
Helen Mrugalski;F;Daniela Ramírez;F
Katalina Sánchez;F;Francisco Melo;M
Luisa Marabolí;F;Exequías Insotroza;M
Elisa Zulueta;F;Francisca Lewin;F
Rallén Montenegro ;F;Arón Díaz;M
Aline Kuppenheim;F;Camila Milenka;F
Cristóbal Briceño ;M;Martín del Real;M
Camilo Arancibia;M;Mark Stanley;M
Rallén Montenegro ;F;Enrique Arce;M
Jaime Vadell ;M;Gloria Münchmeyer;F
Rallén Montenegro ;F;Enrique Arce;M
Valentina Veliz ;F;Daniel Antivilo;M
Benjamín Vicuña;M;Jorge Zabaleta;M
Andrew Bargsted;M;Vivianne Dietz;F
Sara Buzeta;F;Ignacia Antonia;F
Néstor Cantillana;M;Antonia Zegers;F
Antonia Zegers;F;Nicolás Poblete;M
Laura López;F;Alejandro Goic;M
Mariana Di Girolamo;F;Patricia Rivedeneira;F
Juan Carlos Maldonado ;M;Catalina Saavedra;F
Max Salgado;M;René Miranda;M
Daniela Ramírez;F;Cristián Carvajal;M
Alfredo Castro;M;Leonardo Ortizgris;M
Jorge García;M;Lukas Vergara;M
Loretto Bernal ;F;Natalia Valdebenito;F
Benjamín Vicuña;M;Roberto Farías;M
Marcial Tagle;M;Boris Quercia;M
Steevens Benjamin;M;Alfredo Castro;M
Mariana Di Girolamo;F;Gael García ;M
Paulina García;F;Alfredo Castro;M
Mercedes Morán;F;María Valverde;F
Felipe Izquierdo ;M;Bélgica Castro;F
Mariana Derderían;F;Paloma Salas;F
Iván álvarez de Araya;M;Nathalia Acevedo;F
Nicolás Poblete;M;Dayana Amigo ;F
Santiago Rodríguez;M;Cristóbal Rodríguez-Costabal;M
Francisca Walker ;F;Koke Santa Ana;M
Cristián Carvajal;M;Tamara Acosta;F
Paz Bascuñán;F;Marcial Tagle;F
Lucas Espinoza;M;Rallén Montenegro;F
Julio Jung ;M;Sergio Hernández;M
Antonia Zegers;F;Alfredo Castro;M
Antonio Zisis;M;Catalina Calcagni;F
Diego Boggoni ;M;Daniela Castillo;F
Nathalia Acevedo;F;María Gracia Omegna;F
Tomas Vidiella;F;Jaime McManus;M
Armando Araiza;M;Luciana Echeverría;F
Daniel Contesse;M;Nathalia Aragonese;F
Daniel Álvarez;M;Nelson Muñoz;M
Rodrigo Salinas;M;Catalina Saavedra;F
Michelle Mella;F;Javiera Orellana;F
Javiera Contador ;F;Fernando Larraín;M
Agustín Silva ;M;Alejandro Goic;M
Andrew Bargsted;M;Francisco Pérez-Bannen;M
Michael Silva;F;Bastián Inostroza;M
Julia Lübbert;F;Mariana Loyola;F
Adan Jodorowsky;M;Pamela Flores;F
Jorge Alís;M;Soledad del Río;F
Luis Gnecco;M;Gael García ;M
Tomás Arriagada;M;Joaquín Saldaña;M
Javiera Díaz de Valdés;F;Clara Otarola;F
Mauricio Bahamondes;M;Paulina Carrasco;F
Félix Venegas ;M;Astrid Roldán;F
Ingrid Isensee;F;David ammenos;M
Paz Bascuñán;F;Ignacia Allamand;F
Begoña Basauri;F;Mario Horton;M
Viviana Rodríguez;F;Ramón González;M
Andrea García-Huidobro;F;Sofía García;F
Felipe Campero;M;Rafael Maldonado;M
Violeta Castillo;F;Mauricio Vaca;M
Daniel Candia;M;Vicente Alumna ;M
Alberto Zeiss;M;Alejandro Sieveking;M
Marcela Millie;F;Francisca Vidal;F
Vladimir Huaquiñir;M;Rafael de la Reguera;M
Nicolás Zárate ;M;Daniel Alcaíno ;M
Andrés Eliquitay ;M;Carolina Sade;F
Ricardo Pinto ;M;Sandra Meezs;F
José Luis García;M;Benjamin Mamani;M
Tomás Verdejo;M;Mayte Rodríguez;F
Natalia Ramírez;F;Edmundo Arrocet;M
César González;M;Koke Santa Ana;M
Koke Santa Ana;M;Geraldine Neary;F
Francisca Lewin;F;Mario Horton;M
Nicolás Saavedra;M;Erto Pantoja;M
Catalina Saavedra;F;Paola Lattus;F
Rodrigo Salinas;M;Sergio Freire;M
Felipe Izquierdo ;M;Carlos Alcántara;M
Javiera Contador ;F;Fernando Larraín;M
Elena Anaya;F;Benjamín Vicuña;M
Pablo Cerda;M;Katherine Salosny;F
Alfredo Castro;M;Antonia Zegers;F
Sergio Castilla;M;Alison Mandel;F
Pablo Fuentes;M;Camila Garrido;F
Benjamín Vicuña;M;Luis Gnecco;M
Cristian Flores;M;José Soza;M
Sebastián Villegas;M;Claudia Macarena;F
Fernanda Urrejola;F;Paulo Brunetti;M
Daniel Muñoz;M;Aline Kuppernheim;F
Fabrizio Copano ;M;Juanita Ringeling;F
Daniel Candia;M;Daniel Antivilo;M
Rodrigo Salinas;M;Sergio Freire;M
Jean Paul Olhaberry;M;Ingris Isensee;F
Sebastián Brahm;M;Nicolás Alaluf;M
Michael Cera;M;Gaby Hoffman;F
Diego Ruiz;M;Paulina García;F
Juanita Ringeling;F;Alessandra Guerzoni;F
Juanita Ringeling;F;Ramón Llao;M
Fernando Larraín;M;Alvaro Rudolphy;M
Katty Kowaleczko;F;Sebastián Badilla;M
Pedro Campos;M;Luciana Echeverría;F
Roberto Farías ;M;Iván Alvarez;M
Ignacio Santa Cruz;M;Mateo Iribarren;M
Andrea Munizaga;F;Renata Bravo;F
Catherine Mazoyer;F;Cristián Gajardo;M
Marcelo Alonso;M;María de los Ángeles García;F
Stefan Kramer;M;Javier Estévez;M
Mercedes Mujica;F;Elsa Poblete;F
Fabrizio Copano ;M;Pedro Ruminot;M
Gregory Cohen;M;Francisca Walker;F
Paulina García;F;Sergio Hernández;M
Sebastián Ayala;M;Patricio Contreras;M
Manuela Martelli;F;Rutger Hauer;M
Ariel Levy;M;Andrea Velasco;F
Gael García;M;Luis Gnecco;M
Roberto Farías ;M;Héctor Morales;M
Eli Roth ;F;Andrea Osvárt;F
Fernanda Urrejola;F;Matías Oviedo;M
Stefan Kramer;M;Paloma Soto;F
Aquiles Poblete;M;Benjamín Prati;M
Eduardo Fernandez;M;Diego Buggioni;M
Christian Vadim;M;Sergio Hernández;M
Alicia Rodríguez;F;Aline Kuppernheim;F
Xabier Usabiaga;M;Ignacia Tellez;F
Santi Ahumada;M;Emiliano Freifeld;M
Giselle Itié;F;Eduardo Paxeco;M
Francisca Gavilán ;F;Cristián Quevedo;M
Ariel Levy;M;Andrea Velasco;F
Pablo Cerda;M;James Cathcart;M
Sebastián Badilla;M;Denise Rosenthal;F
Cristián Carvajal ;M;Paola Giannini;F
Luis Dubó;M;Sergio Hernández;M
Diego Noguera;M;Nathalia Galgani;F
Blanca Lewin;F;Marcelo Alonso;M
Ingrid Isensee;F;Francisca Merino;F
Andrea Freund ;F;Marcelo Alonso;M
Pablo Cerda;M;Francisca Lewin;F
Martín Castillo;M;Francisca Braithwaite;F
Alejandro Trejo;M;Juan Pablo Miranda;M
Ariel Levy;M;Lucy Cominetti;F
Alfredo Castro;M;Antonia Zegers;F
Rocío Monasterio ;F;Daniel Anitivilo;M
Santiago Cabrera;M;Blanca Lewin;F
Jaime Omañaca;M;Fernando Godoy;M
Bélgica Castro;F;Alejandro Sieveking;M